,Соотношение матрица-наполнитель,"Плотность, кг/м3","Модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Потребление смолы, г/м2","Угол нашивки, град",Шаг нашивки,Плотность нашивки
0,-1.481388199,0.791310817,0.054416460,0.870133501,-0.867680124,0.618232602,-1.017351884,-1.159319578,1.067115897,0.204950668,-0.801783726,-1.033312146,-1.512828912
1,-0.178529770,0.791310817,0.106455479,-0.443801474,0.072004274,-0.638882997,-1.017351884,-1.159319578,1.067115897,0.204950668,-0.801783726,-1.033312146,-0.137529901
2,-0.183393774,0.429546282,0.088213018,-0.443801474,0.072004274,-0.638882997,-1.017351884,-1.159319578,1.067115897,0.204950668,-0.801783726,-1.033312146,0.275059802
3,-0.465998611,-0.655747322,0.303474055,-0.443801474,0.072004274,-0.638882997,-1.017351884,-1.159319578,1.067115897,0.204950668,-0.801783726,-1.033312146,1.650358813
4,-0.477606261,-0.776335501,-0.688915809,-0.443801474,0.072004274,-0.638882997,-0.347819499,0.697358822,-1.588515290,-1.747107952,-0.801783726,-0.101305112,-1.512828912
5,0.941194002,-0.414570966,0.602650411,0.870133501,-0.867680124,0.618232602,-0.347819499,0.697358822,-1.588515290,-1.747107952,-0.801783726,-0.101305112,-0.137529901
6,0.906022305,1.635428065,2.543648233,0.870133501,-0.867680124,0.618232602,2.133388750,1.811365862,-1.145910092,1.766597563,-0.801783726,-0.101305112,0.275059802
7,0.032887146,2.358957134,0.763184066,0.870133501,-0.867680124,0.618232602,2.133388750,1.811365862,-1.145910092,1.766597563,-0.801783726,-0.101305112,1.650358813
8,-1.850459237,-0.173394609,0.376443898,0.870133501,-0.867680124,0.618232602,0.006638822,0.078466021,-0.137753807,0.204950668,-0.801783726,0.830701921,-0.137529901
9,0.032887146,0.188369926,-0.568515568,0.870133501,-0.867680124,0.618232602,0.006638822,0.078466021,-0.137753807,0.204950668,-0.801783726,0.830701921,0.275059802
10,1.614021282,-0.655747322,0.277934610,0.870133501,-0.867680124,0.618232602,0.006638822,0.078466021,-0.137753807,0.204950668,-0.801783726,0.830701921,1.650358813
11,0.054413765,0.791310817,-1.539014479,0.870133501,-0.867680124,0.618232602,-1.017351884,-1.159319578,1.067115897,0.204950668,-0.801783726,1.296705438,-1.512828912
12,0.941194002,-1.017511857,-1.498881066,0.870133501,-0.867680124,0.618232602,-1.017351884,-1.159319578,1.067115897,0.204950668,-0.801783726,1.296705438,-0.137529901
13,1.848348102,-0.173394609,-0.794722081,0.870133501,-0.867680124,0.618232602,-0.347819499,0.697358822,-1.588515290,-1.747107952,-0.801783726,1.296705438,0.275059802
14,-0.027424412,0.429546282,-1.892918218,-0.443801474,0.072004274,-0.638882997,2.133388750,1.811365862,-1.145910092,1.766597563,1.247219129,-1.499315662,-1.512828912
15,-1.850459237,-0.535159144,-0.977146689,-0.443801474,0.072004274,-0.638882997,0.006638822,0.078466021,-0.137753807,0.204950668,1.247219129,-1.499315662,-0.137529901
16,1.614021282,-1.017511857,-0.371496992,-0.443801474,0.072004274,-0.638882997,0.006638822,0.078466021,-0.137753807,0.204950668,1.247219129,-1.499315662,0.275059802
17,-1.211565889,0.883341435,-0.059292283,-1.229000175,0.883067271,1.623885278,0.312265463,0.258093451,0.235076565,-0.611038025,1.247219129,-1.033312146,-0.137529901
18,-0.266571419,-0.871948372,-0.301983915,-1.616431466,0.738030676,-2.408666765,1.324407030,0.515909066,-0.506417777,-1.614049021,1.247219129,-0.101305112,-1.512828912
19,0.125072325,-0.627825889,1.675642198,1.218855269,0.991454270,1.843603715,-0.358102692,0.805214095,-0.473657736,-0.174134248,1.247219129,0.830701921,-0.137529901
20,0.027858899,-1.017875479,1.019564258,-0.644684001,3.224637707,0.131923566,-0.236148432,-0.527731200,1.258644879,-0.337894149,1.247219129,0.830701921,0.275059802
21,0.500251064,-1.822623653,0.124239978,-2.780377187,1.137936982,-1.091180318,0.420421088,-1.403980448,1.483466547,0.846603439,1.247219129,0.830701921,1.650358813
22,-0.644774510,1.460525005,0.757020435,-0.543087130,1.197644415,-1.809710517,-0.748633013,-0.610091653,0.492237320,-0.422414177,1.247219129,1.296705438,0.275059802
